"","x"
"1","1:24076877:24076977"
"2","1:24077077:24077126"
"3","2:34600001:34625000"
"4","2:58868741:58869240"
"5","3:1105225:1105225"
"6","3:15875001:15900000"
"7","3:23570001:23576000"
"8","4:17675001:17700000"
"9","4:31950001:31975000"
"10","4:34312001:34314000"
"11","4:42625001:42650229"
"12","6:64024:64024"
"13","7:5001:10000"
"14","8:53670663:53671090"
"15","13:13670001:13672000"
"16","13:14567598:14567598"
"17","13:51245001:51250000"
"18","14:214333:214482"
"19","14:4182269:4182401"
"20","14:28052001:28055000"
"21","15:21200001:21226000"
"22","15:28199001:28199500"
"23","15:31047627:31047627"
"24","15:43540924:43540924"
"25","16:22780001:22782000"
"26","16:44542001:44544000"
"27","16:46765344:46766406"
"28","17:7760001:7762000"
"29","17:9936401:9936898"
"30","17:14458405:14458505"
"31","17:41075001:41100000"
"32","17:52708001:52710000"
"33","18:44827390:44827390"
"34","19:6310001:6316000"
"35","20:15770001:15775060"
"36","20:54175001:54180000"
"37","20:54390001:54395000"
"38","22:695001:700000"
"39","22:709301:709611"
"40","22:20910001:20915000"
"41","24:986415:986416"
"42","24:3017976:3018219"
"43","24:3059536:3059585"
"44","24:11825001:11850000"
