"","x"
"1","6:4935441:4935768"
"2","8:50628644:50628910"
"3","4:51645740:51646027"
"4","5:38774677:38775285"
"5","8:51371072:51371541"
"6","24:3782666:3783423"
"7","2:44181891:44182390"
"8","4:3011851:3012149"
"9","22:11185769:11186071"
"10","13:3704291:3704340"
"11","16:815631:816213"
"12","15:42582708:42583050"
"13","21:23174621:23174850"
"14","1:14372733:14373618"
"15","25:35134471:35134811"
"16","22:34108053:34108286"
"17","17:9936654:9936703"
"18","25:35502450:35502998"
"19","8:31120071:31120427"
"20","22:37419600:37419816"
"21","3:13557565:13558122"
"22","7:34162239:34162861"
"23","16:5093555:5093769"
"24","1:40644559:40644788"
"25","13:4766104:4766350"
"26","22:12224812:12225254"
"27","2:6262120:6262331"
"28","4:77561200:77561200"
"29","4:77559642:77559642"
"30","4:77560396:77560396"
