"","x"
"1","1:712001:713000"
"2","1:24077077:24077150"
"3","1:41264001:41266000"
"4","2:32775001:32800000"
"5","2:57232001:57233044"
"6","3:3650001:3651000"
"7","3:11600001:11625000"
"8","3:23550001:23576000"
"9","4:17675001:17700000"
"10","4:34312001:34314000"
"11","5:39427001:39428000"
"12","5:65610001:65616000"
"13","7:20967884:20970000"
"14","7:68415001:68420000"
"15","9:11340947:11341050"
"16","10:720001:724000"
"17","10:3746001:3746500"
"18","11:26750001:26775000"
"19","11:41769001:41770000"
"20","12:33192127:33192400"
"21","12:35875001:35900000"
"22","13:1532001:1534000"
"23","13:1755001:1760000"
"24","13:17470292:17470491"
"25","14:28050001:28055050"
"26","15:21715001:21720000"
"27","16:2807224:2809000"
"28","16:22780001:22782000"
"29","16:44542001:44544000"
"30","17:7760001:7762000"
"31","17:52099561:52099561"
"32","18:18042001:18044000"
"33","19:21574001:21600000"
"34","20:6999077:7002000"
"35","21:201001:201322"
"36","21:9780001:9785000"
"37","21:25175001:25200000"
"38","22:3300001:3325000"
"39","22:3631001:3632000"
"40","22:11148001:11155000"
"41","22:33820001:33825000"
"42","23:7000001:7025000"
"43","24:25350001:25375000"
"44","24:31942001:31944000"
"45","25:10685001:10690000"
"46","25:30800001:30825000"
"47","25:35500001:35505000"
