"","x"
"1","6:4935441:4935768"
"2","4:51645740:51646027"
"3","8:51371072:51371541"
"4","22:11185769:11186071"
"5","1:14372733:14373618"
"6","22:34108053:34108286"
"7","17:9936654:9936703"
"8","8:31120071:31120427"
"9","3:13557565:13558122"
"10","7:34162239:34162861"
"11","16:5093555:5093769"
"12","1:40644559:40644788"
"13","4:77561200:77561200"
"14","4:77559642:77559642"
"15","4:77560396:77560396"
"16","8:50628644:50628910"
"17","5:38774677:38775285"
"18","24:3782666:3783423"
"19","2:44181891:44182390"
"20","4:3011851:3012149"
"21","13:3704291:3704340"
"22","16:815631:816213"
"23","15:42582708:42583050"
"24","21:23174621:23174850"
"25","25:35134471:35134811"
"26","25:35502450:35502998"
"27","22:37419600:37419816"
"28","13:4766104:4766350"
"29","22:12224812:12225254"
"30","2:6262120:6262331"
"31","2:58868001:58869240"
"32","4:1658618:1658618"
"33","5:22750001:22775000"
"34","6:14882001:14883000"
"35","8:5001:12000"
"36","9:15788482:15788482"
"37","10:38075001:38100000"
"38","11:42714001:42716028"
"39","12:16564778:16564778"
"40","12:34320001:34325000"
"41","14:7245001:7247000"
"42","14:13550001:13575000"
"43","17:174609:179608"
"44","19:32030001:32035000"
"45","20:37140001:37145000"
"46","22:11184001:11190000"
"47","22:36300001:36325000"
"48","23:16300001:16325000"
"49","1:712001:713000"
"50","1:24077077:24077150"
"51","1:41264001:41266000"
"52","2:32775001:32800000"
"53","2:57232001:57233044"
"54","3:3650001:3651000"
"55","3:11600001:11625000"
"56","3:23550001:23576000"
"57","4:17675001:17700000"
"58","4:34312001:34314000"
"59","5:39427001:39428000"
"60","5:65610001:65616000"
"61","7:20967884:20970000"
"62","7:68415001:68420000"
"63","9:11340947:11341050"
"64","10:720001:724000"
"65","10:3746001:3746500"
"66","11:26750001:26775000"
"67","11:41769001:41770000"
"68","12:33192127:33192400"
"69","12:35875001:35900000"
"70","13:1532001:1534000"
"71","13:1755001:1760000"
"72","13:17470292:17470491"
"73","14:28050001:28055050"
"74","15:21715001:21720000"
"75","16:2807224:2809000"
"76","16:22780001:22782000"
"77","16:44542001:44544000"
"78","17:7760001:7762000"
"79","17:52099561:52099561"
"80","18:18042001:18044000"
"81","19:21574001:21600000"
"82","20:6999077:7002000"
"83","21:201001:201322"
"84","21:9780001:9785000"
"85","21:25175001:25200000"
"86","22:3300001:3325000"
"87","22:3631001:3632000"
"88","22:11148001:11155000"
"89","22:33820001:33825000"
"90","23:7000001:7025000"
"91","24:25350001:25375000"
"92","24:31942001:31944000"
"93","25:10685001:10690000"
"94","25:30800001:30825000"
"95","25:35500001:35505000"
"96","1:51950001:51955000"
"97","2:3575001:3600000"
"98","2:11200001:11225000"
"99","2:57232001:57233798"
"100","3:15875001:15900000"
"101","3:23525001:23576000"
"102","4:12928001:12929000"
"103","4:77550001:77575000"
"104","5:24200001:24205000"
"105","5:43683051:43683100"
"106","5:43683104:43683105"
"107","6:58690001:58696000"
"108","7:1:25000"
"109","7:18598490:18598711"
"110","7:21885001:21890000"
"111","7:32720001:32725000"
"112","7:63325001:63330000"
"113","8:42620001:42626000"
"114","10:10875001:10900000"
"115","10:28150001:28175000"
"116","11:10828040:10828428"
"117","14:3570001:3575000"
"118","15:25802001:25804000"
"119","16:10345001:10350000"
"120","16:46765001:46770000"
"121","16:53015001:53020000"
"122","17:28880001:28885000"
"123","18:48950001:48955000"
"124","20:1764029:1764100"
"125","20:32100001:32125000"
"126","21:6775001:6800000"
"127","22:709001:709500"
"128","22:709512:709611"
"129","22:4250001:4255000"
"130","24:18178001:18180000"
"131","24:37080001:37085000"
"132","25:4420001:4425000"
"133","1:24076877:24076977"
"134","1:24077077:24077126"
"135","2:34600001:34625000"
"136","2:58868741:58869240"
"137","3:1105225:1105225"
"138","3:23570001:23576000"
"139","4:31950001:31975000"
"140","4:42625001:42650229"
"141","6:64024:64024"
"142","7:5001:10000"
"143","8:53670663:53671090"
"144","13:13670001:13672000"
"145","13:14567598:14567598"
"146","13:51245001:51250000"
"147","14:214333:214482"
"148","14:4182269:4182401"
"149","14:28052001:28055000"
"150","15:21200001:21226000"
"151","15:28199001:28199500"
"152","15:31047627:31047627"
"153","15:43540924:43540924"
"154","16:46765344:46766406"
"155","17:9936401:9936898"
"156","17:14458405:14458505"
"157","17:41075001:41100000"
"158","17:52708001:52710000"
"159","18:44827390:44827390"
"160","19:6310001:6316000"
"161","20:15770001:15775060"
"162","20:54175001:54180000"
"163","20:54390001:54395000"
"164","22:695001:700000"
"165","22:709301:709611"
"166","22:20910001:20915000"
"167","24:986415:986416"
"168","24:3017976:3018219"
"169","24:3059536:3059585"
"170","24:11825001:11850000"
