"","x"
"1","1:51950001:51955000"
"2","2:3575001:3600000"
"3","2:11200001:11225000"
"4","2:57232001:57233798"
"5","3:15875001:15900000"
"6","3:23525001:23576000"
"7","4:12928001:12929000"
"8","4:77550001:77575000"
"9","5:24200001:24205000"
"10","5:43683051:43683100"
"11","5:43683104:43683105"
"12","6:58690001:58696000"
"13","7:1:25000"
"14","7:18598490:18598711"
"15","7:21885001:21890000"
"16","7:32720001:32725000"
"17","7:63325001:63330000"
"18","8:42620001:42626000"
"19","10:10875001:10900000"
"20","10:28150001:28175000"
"21","11:10828040:10828428"
"22","14:3570001:3575000"
"23","15:25802001:25804000"
"24","16:10345001:10350000"
"25","16:22780001:22782000"
"26","16:46765001:46770000"
"27","16:53015001:53020000"
"28","17:28880001:28885000"
"29","18:48950001:48955000"
"30","20:1764029:1764100"
"31","20:32100001:32125000"
"32","21:6775001:6800000"
"33","22:709001:709500"
"34","22:709512:709611"
"35","22:4250001:4255000"
"36","24:18178001:18180000"
"37","24:37080001:37085000"
"38","25:4420001:4425000"
