"","Probe","ID"
"1","6:4935441:4935768","overlap_all"
"2","4:51645740:51646027","overlap_all"
"3","8:51371072:51371541","overlap_all"
"4","22:11185769:11186071","overlap_all"
"5","1:14372733:14373618","overlap_all"
"6","22:34108053:34108286","overlap_all"
"7","17:9936654:9936703","overlap_all"
"8","8:31120071:31120427","overlap_all"
"9","3:13557565:13558122","overlap_all"
"10","7:34162239:34162861","overlap_all"
"11","16:5093555:5093769","overlap_all"
"12","1:40644559:40644788","overlap_all"
"13","4:77561200:77561200","overlap_all"
"14","4:77559642:77559642","overlap_all"
"15","4:77560396:77560396","overlap_all"
"16","6:4935441:4935768","overlap_single"
"17","8:50628644:50628910","overlap_single"
"18","4:51645740:51646027","overlap_single"
"19","5:38774677:38775285","overlap_single"
"20","8:51371072:51371541","overlap_single"
"21","24:3782666:3783423","overlap_single"
"22","2:44181891:44182390","overlap_single"
"23","4:3011851:3012149","overlap_single"
"24","22:11185769:11186071","overlap_single"
"25","13:3704291:3704340","overlap_single"
"26","16:815631:816213","overlap_single"
"27","15:42582708:42583050","overlap_single"
"28","21:23174621:23174850","overlap_single"
"29","1:14372733:14373618","overlap_single"
"30","25:35134471:35134811","overlap_single"
"31","22:34108053:34108286","overlap_single"
"32","17:9936654:9936703","overlap_single"
"33","25:35502450:35502998","overlap_single"
"34","8:31120071:31120427","overlap_single"
"35","22:37419600:37419816","overlap_single"
"36","3:13557565:13558122","overlap_single"
"37","7:34162239:34162861","overlap_single"
"38","16:5093555:5093769","overlap_single"
"39","1:40644559:40644788","overlap_single"
"40","13:4766104:4766350","overlap_single"
"41","22:12224812:12225254","overlap_single"
"42","2:6262120:6262331","overlap_single"
"43","4:77561200:77561200","overlap_single"
"44","4:77559642:77559642","overlap_single"
"45","4:77560396:77560396","overlap_single"
"46","2:58868001:58869240","Brain"
"47","4:1658618:1658618","Brain"
"48","5:22750001:22775000","Brain"
"49","6:14882001:14883000","Brain"
"50","8:5001:12000","Brain"
"51","9:15788482:15788482","Brain"
"52","10:38075001:38100000","Brain"
"53","11:42714001:42716028","Brain"
"54","12:16564778:16564778","Brain"
"55","12:34320001:34325000","Brain"
"56","14:7245001:7247000","Brain"
"57","14:13550001:13575000","Brain"
"58","17:174609:179608","Brain"
"59","19:32030001:32035000","Brain"
"60","20:37140001:37145000","Brain"
"61","22:11184001:11190000","Brain"
"62","22:36300001:36325000","Brain"
"63","23:16300001:16325000","Brain"
"64","1:712001:713000","Caudal_Fin"
"65","1:24077077:24077150","Caudal_Fin"
"66","1:41264001:41266000","Caudal_Fin"
"67","2:32775001:32800000","Caudal_Fin"
"68","2:57232001:57233044","Caudal_Fin"
"69","3:3650001:3651000","Caudal_Fin"
"70","3:11600001:11625000","Caudal_Fin"
"71","3:23550001:23576000","Caudal_Fin"
"72","4:17675001:17700000","Caudal_Fin"
"73","4:34312001:34314000","Caudal_Fin"
"74","5:39427001:39428000","Caudal_Fin"
"75","5:65610001:65616000","Caudal_Fin"
"76","7:20967884:20970000","Caudal_Fin"
"77","7:68415001:68420000","Caudal_Fin"
"78","9:11340947:11341050","Caudal_Fin"
"79","10:720001:724000","Caudal_Fin"
"80","10:3746001:3746500","Caudal_Fin"
"81","11:26750001:26775000","Caudal_Fin"
"82","11:41769001:41770000","Caudal_Fin"
"83","12:33192127:33192400","Caudal_Fin"
"84","12:35875001:35900000","Caudal_Fin"
"85","13:1532001:1534000","Caudal_Fin"
"86","13:1755001:1760000","Caudal_Fin"
"87","13:17470292:17470491","Caudal_Fin"
"88","14:28050001:28055050","Caudal_Fin"
"89","15:21715001:21720000","Caudal_Fin"
"90","16:2807224:2809000","Caudal_Fin"
"91","16:22780001:22782000","Caudal_Fin"
"92","16:44542001:44544000","Caudal_Fin"
"93","17:7760001:7762000","Caudal_Fin"
"94","17:52099561:52099561","Caudal_Fin"
"95","18:18042001:18044000","Caudal_Fin"
"96","19:21574001:21600000","Caudal_Fin"
"97","20:6999077:7002000","Caudal_Fin"
"98","21:201001:201322","Caudal_Fin"
"99","21:9780001:9785000","Caudal_Fin"
"100","21:25175001:25200000","Caudal_Fin"
"101","22:3300001:3325000","Caudal_Fin"
"102","22:3631001:3632000","Caudal_Fin"
"103","22:11148001:11155000","Caudal_Fin"
"104","22:33820001:33825000","Caudal_Fin"
"105","23:7000001:7025000","Caudal_Fin"
"106","24:25350001:25375000","Caudal_Fin"
"107","24:31942001:31944000","Caudal_Fin"
"108","25:10685001:10690000","Caudal_Fin"
"109","25:30800001:30825000","Caudal_Fin"
"110","25:35500001:35505000","Caudal_Fin"
"111","1:51950001:51955000","Intestines"
"112","2:3575001:3600000","Intestines"
"113","2:11200001:11225000","Intestines"
"114","2:57232001:57233798","Intestines"
"115","3:15875001:15900000","Intestines"
"116","3:23525001:23576000","Intestines"
"117","4:12928001:12929000","Intestines"
"118","4:77550001:77575000","Intestines"
"119","5:24200001:24205000","Intestines"
"120","5:43683051:43683100","Intestines"
"121","5:43683104:43683105","Intestines"
"122","6:58690001:58696000","Intestines"
"123","7:1:25000","Intestines"
"124","7:18598490:18598711","Intestines"
"125","7:21885001:21890000","Intestines"
"126","7:32720001:32725000","Intestines"
"127","7:63325001:63330000","Intestines"
"128","8:42620001:42626000","Intestines"
"129","10:10875001:10900000","Intestines"
"130","10:28150001:28175000","Intestines"
"131","11:10828040:10828428","Intestines"
"132","14:3570001:3575000","Intestines"
"133","15:25802001:25804000","Intestines"
"134","16:10345001:10350000","Intestines"
"135","16:22780001:22782000","Intestines"
"136","16:46765001:46770000","Intestines"
"137","16:53015001:53020000","Intestines"
"138","17:28880001:28885000","Intestines"
"139","18:48950001:48955000","Intestines"
"140","20:1764029:1764100","Intestines"
"141","20:32100001:32125000","Intestines"
"142","21:6775001:6800000","Intestines"
"143","22:709001:709500","Intestines"
"144","22:709512:709611","Intestines"
"145","22:4250001:4255000","Intestines"
"146","24:18178001:18180000","Intestines"
"147","24:37080001:37085000","Intestines"
"148","25:4420001:4425000","Intestines"
"149","1:24076877:24076977","Multi_organ"
"150","1:24077077:24077126","Multi_organ"
"151","2:34600001:34625000","Multi_organ"
